anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Algoritmi distribuiti e reti complesse,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=ADRC,ADRC,INF/01,9,1,Clementi-Guala',
1,Analisi di reti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=AR,AR,INF/01,6,1,Di Ianni,
1,Calcolo delle probabilità,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=CP2,CP2,MAT/06,6,2,Calzolari,
1,Elementi di analisi numerica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=EAN,EAN,MAT/08,8,1,Di Fiore,
1,Elementi di economia nel progetto di sistemi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=EEPS,EEPS,INF/01,6,2,Marinelli,
1,Geometria algebrica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=GA2,GA2,MAT/03,8,1,Ciliberto,
1,Inferenza statistica e teoria dell'informazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=ISTI,ISTI,MAT/06,6,2,Scalia Tomba,
1,Logica matematica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=LM1,LM1,MAT/01,8,1,Lipparini,
1,Modellizzazione geometrica e simulazione numerica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=MGSN,MGSN,MAT/08,8,1,Manni-Speleers,
1,Natural distribuited algorithms,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=NDA,NDA,INF/01,3,1,Natale,
1,Sistemi di simulazione distribuita,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=SSD,SSD,ING-INF/05,6,2,Iazeolla-D'Ambrogio,
1,Sistemi distribuiti cooperativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=SDC,SDC,INF/01,9,2,Arcieri,
1,Statistical learning and high dimensional data,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=SLHD,SLHD,MAT/06,8,2,De Canditiis,
1,Teoria della sicurezza e crittografia,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=TSC,TSC,INF/01,6,1,Talamo,
2,Information retrieval,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=IR,IR,INF/01,9,1,Amati,
2,Intelligenza artificiale 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=IA2,IA2,ING-INF/05,9,1,Pazienza,
2,Machine learning,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=ML,ML,INF/01,9,2,Gambosi,
2,Metodi di verifica di sistemi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=MVS,MVS,INF/01,6,1,Intrigila,
2,Modelli e qualità del SW,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=MQS,MQS,INF/01,9,1,Iazeolla-D'Ambrogio,
2,Natural language processing,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=NLP,NLP,ING-INF/05,9,1,Zanzotto,
2,Sicurezza dei sistemi informativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=SSI,SSI,INF/01,9,2,Dimitri,
2,Sistemi cooperativi e reti sociali,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=SCRS,SCRS,INF/01,6,2,Talamo,
2,Sistemi di agenti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=SA,SA,INF/01,6,2,Clementi-Guala',
2,Teoria spettrale,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=TS,TS,MAT/05,8,2,Longo,
2,Web mining and retrieval,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2018&cdl=1&id=WMR,WMR,INF-ING/05,9,2,Basili,
