anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Algoritmi e strutture dati 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2002&cdl=0&id=AL1,AL1,,6,2,Clementi,
1,Analisi matematica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2002&cdl=0&id=AM1,AM1,,6,1,Liverani,
1,Architettura degli elaboratori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2002&cdl=0&id=AR,AR,,6,1,Gambosi-Vigliano,
2,Laboratorio di informatica 3 (Programmazione di sistemi),http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2002&cdl=0&id=LI3,LI3,,6,2,Frasca,
