anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Analisi matematica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=AM1,AM1,,6,1,Benfatto-Valdinoci,
1,Architettura degli elaboratori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=AR,AR,,6,1,Nardelli-Nardelli,
1,Fisica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=FI,FI,,6,2,Tazzari-Tazzari,
1,Fondamenti dell'informatica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=FO,FO,,6,1,Giammarresi,
1,Matematica discreta 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=MD1,MD1,,6,1,Piacentini Cattaneo,
1,Matematica discreta 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=MD2,MD2,,6,2,Ghione,
1,Statistica per la ricerca sperimentale e tecnologica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=ST,ST,,6,2,Calzolari,
2,Calcolo delle probabilità,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=CP,CP,,6,1,Calzolari-Calzolari,
3,Calcolo numerico,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=CN,CN,,6,1,Zellini,
3,Linguaggi e traduttori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2003&cdl=0&id=LT,LT,,6,1,Varricchio,
