anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Analisi matematica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=AM1,AM1,,6,1,Liverani,
1,Fondamenti di informatica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=FO,FO,,6,2,Giammarresi,
1,Laboratorio di programmazione dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=LPR,LPR,,6,1,Vigliano-Vigliano,
1,Programmazione dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=PR,PR,,6,1,Varricchio,
2,Basi di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=BD,BD,,6,1,Vigliano-Vigliano,
2,Linguaggi di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=LP,LP,,6,1,Di Ianni,
2,Metodologie di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=MP,MP,,6,2,Di Ianni,
2,Ricerca operativa,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=RO,RO,,6,1,Fanelli,
3,Calcolo numerico,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=CN,CN,,6,1,Manni-Manni,
3,Ingegneria del software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=IS,IS,,6,1,Gambosi,
3,Linguaggi e traduttori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2004&cdl=0&id=LT,LT,,6,1,Varricchio,
