anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Algoritmi e strutture dati 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2001&cdl=0&id=AL1,AL1,,6,2,Giammarresi,
1,Analisi matematica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2001&cdl=0&id=AM1,AM1,,6,1,Liverani,
1,Architettura degli elaboratori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2001&cdl=0&id=AR,AR,,6,1,Gambosi-Vigliano,
2,Basi di dati e sistemi informativi 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2001&cdl=0&id=BD1,BD1,,6,1,Gambosi,
3,Algoritmi e strutture dati 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2001&cdl=0&id=AL2,AL2,,6,1,Clementi,
3,Analisi numerica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2001&cdl=0&id=AN,AN,,6,1,Fanelli,
