anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Analisi matematica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=AM1,AM1,,6,1,Liverani,
1,Analisi matematica 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=AM2,AM2,,3,2,Nicolò,
1,Elementi di matematica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=EM,EM,,3,1,Piacentini Cattaneo,
1,Geometria ed algebra,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=GA,GA,,6,2,Ghione,
1,Laboratorio di programmazione dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=LPR,LPR,,6,2,Vigliano, Vigliano,
1,Matematica discreta,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=MD,MD,,6,1,Piacentini Cattaneo,
1,Programmazione dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=PR,PR,,6,1,Giammarresi,
1,Reti logiche,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=RL,RL,,6,2,Di Pasquale, Di Pasquale,
2,Architettura dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=AC,AC,,6,1,Nardelli, Nardelli,
2,Basi di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=BD,BD,,6,1,Vigliano, Vigliano,
2,Fisica 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=FI1,FI1,,3,2,Francini,
2,Laboratorio di basi di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=LBD,LBD,,6,2,Baffi, Baffi,
2,Linguaggi di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=LP,LP,,6,1,Di Ianni,
2,Metodologie di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=MP,MP,,6,2,Di Ianni,
2,Ricerca operativa,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=RO,RO,,6,1,Fanelli,
2,Sistemi operativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=SO,SO,,6,2,Frasca,
2,Statistica per la ricerca sperimentale e tecnologica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=ST,ST,,6,2,Macci,
3,Analisi matematica 3,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=AM3,AM3,,6,2,Fidaleo,
3,Architettura dei sistemi software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=ASS,ASS,,6,2,Gambosi,
3,Calcolo numerico,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=CN,CN,,6,1,Manni, Manni,
3,Fisica 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=FI2,FI2,,3,1,Francini,
3,Laboratorio di sistemi software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=LSS,LSS,,6,2,Bianchi, Bianchi,
3,Linguaggi e traduttori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2005&cdl=0&id=LT,LT,,6,1,Varricchio,
