anno,ora,lunedì,martedì,mercoledì,giovedì,venerdì
1,9:30, X,X,Analisi di reti(27),Service oriented software engineering(Ing. B8),Sistemi distribuiti cooperativi(27)
1,10:30, X,X,Analisi di reti(27),Service oriented software engineering(Ing. B8),Sistemi distribuiti cooperativi(27)
1,11:30, Analisi di reti(27),Service oriented software engineering(Ing. B8),Sistemi distribuiti cooperativi(27),X,Service oriented software engineering(Ing. B8)
1,12:30, Analisi di reti(27),Service oriented software engineering(Ing. B8),Sistemi distribuiti cooperativi(27),X,Service oriented software engineering(Ing. B8)
1,13:30, X,X,X,X,X
1,14:30, X,X,X,X,X
1,15:30, X,Algoritmi distribuiti e reti complesse(15:00),X,Algoritmi distribuiti e reti complesse(15:00),X
1,16:30, X,Algoritmi distribuiti e reti complesse(16:00),X,Algoritmi distribuiti e reti complesse(16:00),X
1,17:30, X,X,X,Sistemi distribuiti cooperativi(17:00),X
1,18:30, X,X,X,Sistemi distribuiti cooperativi(18:00),X
2,9:30, Intelligenza artificiale 2 - Ingegneria della conoscenza(27),Natural language processing(27),X,Natural language processing(27),X
2,10:30, Intelligenza artificiale 2 - Ingegneria della conoscenza(27),Natural language processing(27),X,Natural language processing(27),X
2,11:30, X,Natural language processing(27),X,Natural language processing(27),X
2,12:30, X,Metodi di verifica di sistemi(27),X,Metodi di verifica di sistemi(27),X
2,13:30, X,Metodi di verifica di sistemi(27),X,Metodi di verifica di sistemi(27),X
2,14:30, X,X,Intelligenza artificiale 2 - Ingegneria della conoscenza(14:00),X,X
2,15:30, Information retrieval(15:00),X,Intelligenza artificiale 2 - Ingegneria della conoscenza(15:00),X,Information retrieval(15:00)
2,16:30, Information retrieval(16:00),X,X,X,Information retrieval(16:00)
2,17:30, X,X,X,X,X
2,18:30, X,X,X,X,X
