anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Analisi matematica 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=AM2,AM2,,6,2,Nicolò,
1,Elementi di matematica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=EM,EM,,3,1,Piacentini Cattaneo,
1,Fondamenti di informatica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=FO,FO,,6,2,Gambosi,
1,Geometria ed algebra,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=GA,GA,,6,2,Gavarini, Gavarini,
1,Matematica discreta,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=MD,MD,,6,1,Piacentini Cattaneo,
1,Programmazione dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=PR,PR,,12,1-2,Giammarresi,
2,Algoritmi e strutture di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=ASDL,ASDL,,6,1,Rossi,
2,Basi di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=BD,BD,,6,1,Vigliano, Vigliano,
2,Laboratorio di basi di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=LBD,LBD,,6,2,Romaniello, Romaniello,
2,Linguaggi di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=LP,LP,,6,1,Di Ianni,
2,Metodologie di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=MP,MP,,6,2,Di Ianni,
2,Reti di calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=RC,RC,,6,2,Frasca,
2,Ricerca operativa,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=RO,RO,,6,1,Rossi, Rossi,
2,Sistemi operativi,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=SO,SO,,6,2,Frasca,
2,Statistica per la ricerca sperimentale e tecnologica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=ST,ST,,6,1,Macci,
3,Algoritmi e strutture di dati 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=ASD2,ASD2,,6,1,Clementi,
3,Architettura dei sistemi software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=ASS,ASS,,6,2,Bei,
3,Architetture software per applicazioni in tempo reale ad alta interattività,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=ASAT,ASAT,,5,2,Fabricatore,
3,Calcolo numerico,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=CN,CN,,6,1,Bertaccini,
3,Ingegneria del software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=IS,IS,,6,1,Intrigila,
3,Intelligenza artificiale,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=IA,IA,,6,1,De Luca,
3,Laboratorio di sistemi software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2008&cdl=0&id=LSS,LSS,,6,2,Bianchi,
