anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Analisi Matematica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=AM,AM,,9,1,Radulescu,
1,Fondamenti di informatica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=FO,FO,,6,2,Giammarresi,
1,Geometria ed algebra,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=GA,GA,,6,2,Letizia,
1,Programmazione dei calcolatori con laboratorio,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=PR,PR,INF/01,12,1-2,Gaibisso,
1,Reti logiche ed architettura dei calcolatori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=RLAC,RLAC,,12,1-2,Guala',
2,Algoritmi e strutture di dati con laboratorio,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=ASDL,ASDL,,12,1-2,Rossi,
2,Basi di dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=BD,BD,,12,1-2,Vigliano,
2,Calcolo delle probabilità e statistica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=CPS,CPS,,6,1,Macci,
2,Linguaggi e metodologie di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=LP,LP,,12,1-2,Bianchi,
2,Ricerca operativa,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=RO,RO,,6,1,Pacifici,
2,Sistemi operativi e reti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=SOR,SOR,,12,1-2,Frasca,
3,Algoritmi e strutture di dati 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=ASD2,ASD2,,6,2,Clementi,
3,Calcolo numerico,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=CN,CN,,6,1,Bertaccini,
3,Ingegneria del software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=IS,IS,,12,1-2,Intrigila,
3,Intelligenza artificiale,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=IA,IA,,6,1,De Luca,
3,Laboratorio di ingegneria del software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=LIS,LIS,,6,2,Bei,
3,Linguaggi e traduttori,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2010&cdl=0&id=LT,LT,,6,1,Giammarresi,
